Generation,AverageFitness,MaxFitness
820,12160.788367,12354.905309
821,11168.292290,11294.646388
822,11899.914440,12076.514116
823,12812.958271,12961.307909
824,12879.030370,12987.679576
825,11731.859068,11919.496750
826,12153.074417,12444.677545
827,13264.249319,13520.046228
828,13658.543053,13928.915089
829,10634.953437,10714.996371
830,12552.383498,12947.177788
831,11998.372671,12132.036304
832,12417.047256,12633.915324
833,11431.508928,11525.304221
834,13381.089092,13530.305577
835,12589.441675,12736.829337
836,11074.654946,11179.701384
837,13957.302883,14373.676482
838,12564.229619,12636.759295
839,11865.362875,12001.822418
840,12905.065524,13163.360418
841,13078.455207,13243.560222
842,13442.616009,13555.045139
843,11588.085780,11680.414314
844,12978.897462,13112.998707
845,11813.615678,11971.906057
846,12217.668309,12425.055706
847,13508.065677,13803.238974
848,13392.770289,13579.671625
849,12275.534565,12451.838329
850,13120.149944,13245.401808
851,11001.401989,11128.301784
852,14555.294587,14804.960046
853,11080.965892,11227.426680
854,14004.825936,14161.711750
855,11755.199855,11932.525268
856,11962.149969,12118.780271
857,12453.320630,12575.155969
858,13653.307477,14102.553871
859,12652.083114,12828.069202
860,11896.722684,12062.835451
861,12769.870963,12955.030689
862,12327.202189,12483.281044
863,15252.385170,15430.218917
864,12896.416133,13126.487028
865,11911.185403,11990.005408
866,11935.732832,12127.229747
867,11770.982647,11877.704975
868,12246.818620,12339.657005
869,11604.065922,11704.395209
870,13910.030842,14124.120387
871,12907.823392,13036.114413
872,10336.169183,10454.223215
873,13960.436688,14168.939382
874,10952.651038,11108.293825
875,12904.946245,13080.358467
876,12587.135316,12733.286427
877,12315.073021,12440.220482
878,11996.829597,12093.831473
879,11624.090447,11894.190928
880,10789.299729,10879.636377
881,11916.497637,12124.948236
882,12595.875678,12716.940732
883,12733.477566,12896.917358
884,12200.687854,12353.643317
885,12701.523537,12864.101085
886,11343.998908,11454.555038
887,12089.378085,12172.893602
888,11144.528445,11265.447320
889,11463.286347,11572.580328
890,11094.701695,11165.323706
891,13604.160544,13749.524497
892,12603.218701,13001.038756
893,12886.999237,13111.458223
894,11830.829469,11927.352267
895,12554.312742,12735.626835
896,12321.605757,12503.591293
897,11854.888692,11990.808583
898,12257.591554,12388.611445
899,13495.724737,13578.223018
900,11822.813917,12016.136470
901,11183.795541,11430.020745
902,11358.011053,11433.098054
903,12768.576080,12939.799478
904,13471.029448,13632.367967
905,11543.331480,11801.805008
906,14848.054493,15049.336898
907,13278.849834,13392.852753
908,12410.165992,12531.524574
909,11114.587805,11337.118037
910,11948.959279,12075.209508
911,12096.797421,12382.446584
912,13145.659618,13274.120967
913,12382.296387,12508.785697
914,12622.654802,12782.078627
915,11057.050124,11283.029235
916,13346.239371,13582.145834
917,12171.730866,12288.138786
918,11227.265778,11405.773883
919,13059.691398,13242.592280
920,13589.141718,13775.928856
921,13831.808756,13956.670873
922,13878.131913,13996.017892
923,11656.938319,11772.712607
924,11471.073188,11553.154213
925,11208.646700,11284.371671
926,13663.114275,14002.834807
927,13195.748168,13366.159912
928,12798.345756,12986.291529
929,12371.248053,12507.260675
930,11240.975180,11472.802479
931,11334.254463,11449.679977
932,12453.297536,12655.410602
933,11286.611121,11481.540457
934,11616.544386,11686.178889
935,12545.591691,12929.583773
936,11568.204816,11688.172413
937,12294.582771,12530.016803
938,12359.320255,12590.003245
939,11881.568577,11979.903019
940,13901.185307,14010.900934
941,12217.049839,12380.252856
942,12849.200157,12999.943907
943,12419.000716,12746.203591
944,11849.348023,12118.619562
945,13270.078924,13446.011238
946,14158.414907,14478.982778
947,12705.072647,12831.111635
948,13073.670205,13152.033390
949,13116.152889,13258.548024
950,11586.979157,11698.750573
951,11356.744998,11477.340839
952,11820.075828,12014.715202
953,12273.477009,12366.946489
954,13031.356204,13182.501476
955,11871.332918,12032.302222
956,14252.147423,14419.449248
957,12053.795824,12273.806189
958,11885.148251,12037.914037
959,12265.595676,12361.588097
960,12952.621898,13126.288731
961,10991.721978,11108.889048
962,11077.146851,11150.977786
963,11650.448702,11755.370782
964,10687.745507,10793.898646
965,11968.305241,12148.349810
966,14142.960215,14245.588991
967,13182.332851,13327.072660
968,11898.742110,11994.062378
969,13995.023267,14236.591961
970,11927.087340,12037.803189
971,13706.917585,13946.461497
972,11182.999065,11313.765564
973,11531.084027,11752.526690
974,10764.803080,10883.433180
975,12374.311007,12781.263217
976,10676.014959,10837.986970
977,13652.287227,13901.171495
978,12918.782375,13205.041219
979,12678.002628,12753.586963
980,12144.010489,12286.411713
981,12467.107869,12587.681565
982,12107.510088,12253.422471
983,13107.726464,13259.156512
984,12020.777217,12305.094858
985,13008.528971,13144.838820
986,13320.936904,13478.503764
987,10779.211495,10939.561124
988,12550.362860,12692.791791
989,12973.334784,13156.920986
990,12693.819952,12787.226144
991,13420.569382,13549.447960
992,12734.758010,12885.977794
993,15132.769636,15325.971689
